unnamed:_0_level_0,all_sectors,all_sectors.1,all_sectors.2,all_sectors.3,all_sectors.4,private_sector,private_sector.1,private_sector.2,private_sector.3,private_sector.4,public_sector,public_sector.1,public_sector.2,public_sector.3,public_sector.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
February 2025,1,7670,48.0,4.7,3.7,,,,,,1,7670,48.0,4.7,3.7,sector_month,Public administration,2025-10-21
March 2025,1,8240,48.0,3.9,3.7,,,,,,1,8240,48.0,3.9,3.7,sector_month,Public administration,2025-10-21
April 2025,1,5713,60.0,2.8,2.5,,,,,,1,5713,60.0,2.8,2.5,sector_month,Public administration,2025-10-21
May 2025,3,7077,42.1,3.5,3.3,,,,,,3,7077,42.1,3.5,3.3,sector_month,Public administration,2025-10-21
June 2025,,,,,,,,,,,,,,,,sector_month,Public administration,2025-10-21
July 2025,,,,,,,,,,,,,,,,sector_month,Public administration,2025-10-21
August 2024,5,21192,45.1,3.2,3.0,2,2990,36.0,7.0,2.8,3,18202,46.5,2.6,3.1,sector_month,All jurisdictions,2025-10-21
September 2024,5,14010,31.8,5.7,4.4,4,9010,29.4,6.9,5.1,1,5000,36.0,3.5,3.0,sector_month,All jurisdictions,2025-10-21
October 2024,8,45176,45.7,3.4,3.7,2,7296,46.0,3.5,3.1,6,37880,45.6,3.4,3.8,sector_month,All jurisdictions,2025-10-21
November 2024,6,6894,38.1,3.7,3.4,,,,,,6,6894,38.1,3.7,3.4,sector_month,All jurisdictions,2025-10-21
December 2024,15,125802,52.7,5.3,3.7,7,13801,57.2,2.8,3.7,8,112001,52.1,5.7,3.7,sector_month,All jurisdictions,2025-10-21
January 2025,7,13702,57.6,5.3,3.3,3,3916,58.0,3.6,3.2,4,9786,57.5,6.1,3.3,sector_month,All jurisdictions,2025-10-21
February 2025,8,15157,45.3,4.7,3.6,4,5057,44.9,5.5,4.0,4,10100,45.6,4.3,3.4,sector_month,All jurisdictions,2025-10-21
March 2025,6,22135,47.7,3.1,3.3,1,1404,72.0,0.0,1.8,5,20731,46.0,3.4,3.4,sector_month,All jurisdictions,2025-10-21
April 2025,13,172748,46.9,6.3,4.6,6,116015,47.8,7.7,5.3,7,56733,45.3,3.4,3.1,sector_month,All jurisdictions,2025-10-21
May 2025,9,25184,45.1,3.1,3.0,4,11083,46.3,2.9,2.8,5,14101,44.2,3.2,3.1,sector_month,All jurisdictions,2025-10-21
June 2025,4,4657,53.6,3.6,3.4,2,1523,47.1,4.7,3.5,2,3134,56.8,3.0,3.4,sector_month,All jurisdictions,2025-10-21
July 2025,4,45658,48.4,7.4,2.1,2,42230,48.7,7.8,2.0,2,3428,44.6,3.2,3.2,sector_month,All jurisdictions,2025-10-21
August 2024,1,652,36.0,4.0,3.3,,,,,,1,652,36.0,4.0,3.3,sector_month,Federal jurisdiction,2025-10-21
September 2024,1,550,48.0,5.0,4.2,1,550,48.0,5.0,4.2,,,,,,sector_month,Federal jurisdiction,2025-10-21
October 2024,2,1680,39.4,4.2,3.2,1,600,24.0,3.2,3.1,1,1080,48.0,4.7,3.2,sector_month,Federal jurisdiction,2025-10-21
November 2024,1,1020,48.0,4.8,3.1,,,,,,1,1020,48.0,4.8,3.1,sector_month,Federal jurisdiction,2025-10-21
December 2024,4,9004,48.0,4.8,3.2,2,2594,48.0,4.7,3.2,2,6410,48.0,4.8,3.2,sector_month,Federal jurisdiction,2025-10-21
January 2025,1,536,36.0,3.0,3.0,1,536,36.0,3.0,3.0,,,,,,sector_month,Federal jurisdiction,2025-10-21
February 2025,5,12727,46.7,5.0,3.8,4,5057,44.9,5.5,4.0,1,7670,48.0,4.7,3.7,sector_month,Federal jurisdiction,2025-10-21
March 2025,,,,,,,,,,,,,,,,sector_month,Federal jurisdiction,2025-10-21
April 2025,,,,,,,,,,,,,,,,sector_month,Federal jurisdiction,2025-10-21
May 2025,,,,,,,,,,,,,,,,sector_month,Federal jurisdiction,2025-10-21
June 2025,1,733,48.0,5.0,4.5,1,733,48.0,5.0,4.5,,,,,,sector_month,Federal jurisdiction,2025-10-21
July 2025,2,3336,54.0,4.0,3.4,1,2500,60.0,4.0,3.4,1,836,36.0,4.0,3.5,sector_month,Federal jurisdiction,2025-10-21
August 2024,,,,,,,,,,,,,,,,sector_month,Newfoundland and Labrador,2025-10-21
September 2024,,,,,,,,,,,,,,,,sector_month,Newfoundland and Labrador,2025-10-21
October 2024,,,,,,,,,,,,,,,,sector_month,Newfoundland and Labrador,2025-10-21
November 2024,,,,,,,,,,,,,,,,sector_month,Newfoundland and Labrador,2025-10-21
December 2024,,,,,,,,,,,,,,,,sector_month,Newfoundland and Labrador,2025-10-21
January 2025,,,,,,,,,,,,,,,,sector_month,Newfoundland and Labrador,2025-10-21
February 2025,,,,,,,,,,,,,,,,sector_month,Newfoundland and Labrador,2025-10-21
March 2025,,,,,,,,,,,,,,,,sector_month,Newfoundland and Labrador,2025-10-21
April 2025,,,,,,,,,,,,,,,,sector_month,Newfoundland and Labrador,2025-10-21
May 2025,,,,,,,,,,,,,,,,sector_month,Newfoundland and Labrador,2025-10-21
June 2025,,,,,,,,,,,,,,,,sector_month,Newfoundland and Labrador,2025-10-21
July 2025,,,,,,,,,,,,,,,,sector_month,Newfoundland and Labrador,2025-10-21
August 2024,,,,,,,,,,,,,,,,sector_month,Prince Edward Island,2025-10-21
September 2024,,,,,,,,,,,,,,,,sector_month,Prince Edward Island,2025-10-21
October 2024,,,,,,,,,,,,,,,,sector_month,Prince Edward Island,2025-10-21
November 2024,,,,,,,,,,,,,,,,sector_month,Prince Edward Island,2025-10-21
December 2024,,,,,,,,,,,,,,,,sector_month,Prince Edward Island,2025-10-21
January 2025,,,,,,,,,,,,,,,,sector_month,Prince Edward Island,2025-10-21
February 2025,,,,,,,,,,,,,,,,sector_month,Prince Edward Island,2025-10-21
March 2025,,,,,,,,,,,,,,,,sector_month,Prince Edward Island,2025-10-21
April 2025,,,,,,,,,,,,,,,,sector_month,Prince Edward Island,2025-10-21
May 2025,,,,,,,,,,,,,,,,sector_month,Prince Edward Island,2025-10-21
